X,Y,NAMA HOTEL,ALAMAT,LANDMARK,NO TELEFON,LOKASI ,WEBSITE,icon_url
103.328230499237,3.80521580274334,Hotel Sentral Kuantan,"Jalan Besar, Kuantan",Berhampiran Menara 188,09-565 9999,https://maps.app.goo.gl/ZvHtWEuVsHXSMpVt9,https://hotel-sentral-kuantan.h-rez.com/,./0.png
103.329135669347,3.80569809168692,Megaview Hotel,"Jalan Besar, Kuantan",Bersebelahan Riverfront,09-517 1888,https://maps.app.goo.gl/jJ5KC334YjhYxHYKA,http://www.megaviewhotel.com/,./0.png
103.325310149188,3.80670568165647,Shahzan Inn Hotel,"Jalan Bukit Ubi, Kuantan",Bersebelahan Padang MPK 1,09-513 6688,https://maps.app.goo.gl/qqh1uoMuD5oSzLSd8,https://www.shahzanhotels.com/,./0.png
103.329799801451,3.81324905438775,Hotel Grand Continental,"Jalan Gambut, Kuantan",Berhampiran Bangunan Pejabat TNB,09-515 8888,https://maps.app.goo.gl/k3UzZ8KBxKwC6SaN7,https://grandconkuantan.com/,./0.png
103.331152765666,3.81510411013897,Grand DarulMakmur Hotel,Lorong Gambut,Belakang Berjaya Megamall,09-511 8888,https://maps.app.goo.gl/XoNqapUnVGrCtUiB6,https://gdmhotel.com.my/,./0.png
103.330970995337,3.81428950320461,Meriton Inn Hotel,Lorong Tun Ismail 10,Belakang Grand DarulMakmur Hotel,09-517 9999,https://maps.app.goo.gl/ZGw9eVZmL1NEzyQk8,TIADA,./0.png
103.325361378334,3.80506775176577,Seasons View Hotel,Lorong Haji Abdul Rahman 1,Berhampiran De Spring Hotel,09-516 2828,https://maps.app.goo.gl/1JCeDdsE4uJVcGYF9,https://www.seasonsview-kuantan.com/,./0.png
103.327945787459,3.8163123467955,Pavilion Hotel Kuantan,Jalan Tun Ismail,Berhampiran PolyMetro Kuantan,09-517 3318,https://maps.app.goo.gl/gVRqM61T8K539Vre7,TIADA,./0.png
103.32636978096,3.82278061561509,Sky Tree Hotel,Jalan Dato Lim Hoe Lek,Berhadapan Petronas Sekilau,09-513 9898,https://maps.app.goo.gl/8ukL87kvikMjhgz18,https://skytreehotel.com/,./0.png
103.331963245406,3.81292815965963,E-Red Hotel,Jalan Haji Abdul Aziz,Berhampiran Pejabat TNB,09-516 3331,https://maps.app.goo.gl/NXmoV4pLpVmaoj9C6,https://e-redhotel.com/kuantan-e-red-hotel/,./0.png
103.3161352491,3.79923320663233,De Champs Hotel,Jalan Dato' Wong Ah Jang,Berhadapan King's Bakery Jln Wong Ah Jang,09-515 7878,https://maps.app.goo.gl/Vt5GY7HnA9gSJHAe6,TIADA,./0.png
103.315583495866,3.79780966819486,Arenaa Batik Boutique Hotel,Jalan Dato' Wong Ah Jang,Berhampiran King's Bakery Jln Wong Ah Jang,09-513 9800,https://maps.app.goo.gl/2tELUpR1FTNdcii47,https://www.arenaabatik.com.my/,./0.png
103.325781495775,3.8113008272783,Cathayana Hotel Kuantan,Lorong Tun Ismail 5,Berhampiran Mydin Kuantan,09-517 2000,https://maps.app.goo.gl/Bed3meprcv2BUw5F7,https://cathayanahotel.com.my/ms/,./0.png
103.328469311457,3.81674363516409,Rocana Hotel,Lorong Tun Ismail 8,Belakang PolyMetro Kuantan,09-517 3993,https://maps.app.goo.gl/LwkhP5JCVC23sg8i6,https://rocanahotel.com/,./0.png
103.335811782657,3.81609632592316,Hotel Seri Malaysia Kuantan,"Jalan Teluk Sisek, Kuantan",Berhampiran AC Hotel Kuantan,"095136666",https://maps.app.goo.gl/vX1xb4eMa3h42WtU6,https://www.serimalaysia.com.my/,./0.png
